时间,日期,总业务量
2019/12/4,22:00,1245736
2019/12/4,22:30,1052623
2019/12/4,23:00,862801
2019/12/4,23:30,683980
2019/12/5,0:00,571814
2019/12/5,0:30,407463
2019/12/5,1:00,304800
2019/12/5,1:30,232141
2019/12/5,2:00,187514
2019/12/5,2:30,160954
2019/12/5,3:00,148933
2019/12/5,3:30,142380
2019/12/5,4:00,152400
2019/12/5,4:30,176473
2019/12/5,5:00,225988
2019/12/5,5:30,318702
2019/12/5,6:00,485987
2019/12/5,6:30,684788
2019/12/5,7:00,727106
2019/12/5,7:30,996510
2019/12/5,8:00,1181283
2019/12/5,8:30,619707
2019/12/5,9:00,1474003
2019/12/5,9:30,1521726
2019/12/5,10:00,1605504
2019/12/5,10:30,1606551
2019/12/5,11:00,1590952
2019/12/5,11:30,1527585
2019/12/5,12:00,1559680
2019/12/5,12:30,1581299
2019/12/5,13:00,1462947
2019/12/5,13:30,1375907
2019/12/5,14:00,1452670
2019/12/5,14:30,1497557
2019/12/5,15:00,1389756
2019/12/5,15:30,984888
2019/12/5,16:00,1459200
2019/12/5,16:30,1474497
2019/12/5,17:00,1458759
2019/12/5,17:30,1169384
2019/12/5,18:00,1405697
2019/12/5,18:30,1434301
2019/12/5,19:00,1521399
2019/12/5,19:30,1504675
2019/12/5,20:00,1429481
2019/12/5,20:30,1394458
2019/12/5,21:00,1417219
2019/12/5,21:30,1382954
2019/12/5,22:00,1303404
2019/12/5,22:30,1182739
2019/12/5,23:00,936523
2019/12/5,23:30,744225
2019/12/6,0:00,636067
2019/12/6,0:30,465044
2019/12/6,1:00,328103
2019/12/6,1:30,248461
2019/12/6,2:00,224093
2019/12/6,2:30,196378
2019/12/6,3:00,177992
2019/12/6,3:30,171281
2019/12/6,4:00,170282
2019/12/6,4:30,190797
2019/12/6,5:00,248220
2019/12/6,5:30,348392
2019/12/6,6:00,527693
2019/12/6,6:30,724046
2019/12/6,7:00,972494
2019/12/6,7:30,1055207
2019/12/6,8:00,1233024
2019/12/6,8:30,1396220
2019/12/6,9:00,1569349
2019/12/6,9:30,1540443
2019/12/6,10:00,1121477
2019/12/6,10:30,1613150
2019/12/6,11:00,1059305
2019/12/6,11:30,1746580
2019/12/6,12:00,1600588
2019/12/6,12:30,1646227
2019/12/6,13:00,1567089
2019/12/6,13:30,1454052
2019/12/6,14:00,1545835
2019/12/6,14:30,1427251
2019/12/6,15:00,771888
2019/12/6,15:30,1138551
2019/12/6,16:00,1671977
2019/12/6,16:30,981983
2019/12/6,17:00,1543208
2019/12/6,17:30,1051325
2019/12/6,18:00,1757813
2019/12/6,18:30,1579962
2019/12/6,19:00,1337152
2019/12/6,19:30,1479591
2019/12/6,20:00,1494907
2019/12/6,20:30,1547181
2019/12/6,21:00,1493736
2019/12/6,21:30,1437295
2019/12/6,22:00,700349
2019/12/6,22:30,1085015
2019/12/6,23:00,989465
2019/12/6,23:30,775021
2019/12/7,0:00,673665
2019/12/7,0:30,486959
2019/12/7,1:00,369679
2019/12/7,1:30,285687
2019/12/7,2:00,224554
2019/12/7,2:30,184270
2019/12/7,3:00,166402
2019/12/7,3:30,156475
2019/12/7,4:00,159732
2019/12/7,4:30,176006
2019/12/7,5:00,226094
2019/12/7,5:30,270868
2019/12/7,6:00,437850
2019/12/7,6:30,610231
2019/12/7,7:00,843083
2019/12/7,7:30,964681
2019/12/7,8:00,1140953
2019/12/7,8:30,1279283
2019/12/7,9:00,1460385
2019/12/7,9:30,1559847
2019/12/7,10:00,1632169
2019/12/7,10:30,1650747
2019/12/7,11:00,1538139
2019/12/7,11:30,1704351
2019/12/7,12:00,1663753
2019/12/7,12:30,1639116
2019/12/7,13:00,1445758
2019/12/7,13:30,1421274
2019/12/7,14:00,1454769
2019/12/7,14:30,1438953
2019/12/7,15:00,1467604
2019/12/7,15:30,1465763
2019/12/7,16:00,1480751
2019/12/7,16:30,1096279
2019/12/7,17:00,1407585
2019/12/7,17:30,1442463
2019/12/7,18:00,1439758
2019/12/7,18:30,1303177
2019/12/7,19:00,1481823
2019/12/7,19:30,1471812
2019/12/7,20:00,1478857
2019/12/7,20:30,1438740
2019/12/7,21:00,1384766
2019/12/7,21:30,1324397
2019/12/7,22:00,1272107
2019/12/7,22:30,1136925
2019/12/7,23:00,943070
2019/12/7,23:30,734168
2019/12/8,0:00,653661
2019/12/8,0:30,479445
2019/12/8,1:00,358511
2019/12/8,1:30,269036
2019/12/8,2:00,206536
2019/12/8,2:30,185949
2019/12/8,3:00,155434
2019/12/8,3:30,144337
2019/12/8,4:00,144921
2019/12/8,4:30,157324
2019/12/8,5:00,199151
2019/12/8,5:30,259544
2019/12/8,6:00,364669
2019/12/8,6:30,508450
2019/12/8,7:00,734507
2019/12/8,7:30,876909
2019/12/8,8:00,1039199
2019/12/8,8:30,1153857
2019/12/8,9:00,1357550
2019/12/8,9:30,1476330
2019/12/8,10:00,1664149
2019/12/8,10:30,1669806
2019/12/8,11:00,1682691
2019/12/8,11:30,1670516
2019/12/8,12:00,1665582
2019/12/8,12:30,1608432
2019/12/8,13:00,1488323
2019/12/8,13:30,1445111
2019/12/8,14:00,1427900
2019/12/8,14:30,1418535
2019/12/8,15:00,1365390
2019/12/8,15:30,1420780
2019/12/8,16:00,1443523
2019/12/8,16:30,1352097
2019/12/8,17:00,1401773
2019/12/8,17:30,1377835
2019/12/8,18:00,1350805
2019/12/8,18:30,1377105
2019/12/8,19:00,1402735
2019/12/8,19:30,1406066
2019/12/8,20:00,1419797
2019/12/8,20:30,1409089
2019/12/8,21:00,1371985
2019/12/8,21:30,1331290
2019/12/8,22:00,1246289
2019/12/8,22:30,1112351
2019/12/8,23:00,902571
2019/12/8,23:30,676610
2019/12/9,0:00,609920
2019/12/9,0:30,431342
2019/12/9,1:00,315304
2019/12/9,1:30,240842
2019/12/9,2:00,192820
2019/12/9,2:30,163263
2019/12/9,3:00,149726
2019/12/9,3:30,145289
2019/12/9,4:00,149872
2019/12/9,4:30,167040
2019/12/9,5:00,220614
2019/12/9,5:30,312940
2019/12/9,6:00,470960
2019/12/9,6:30,649409
2019/12/9,7:00,838675
2019/12/9,7:30,917455
2019/12/9,8:00,1104127
2019/12/9,8:30,1264488
2019/12/9,9:00,1438809
2019/12/9,9:30,1509890
2019/12/9,10:00,1676012
2019/12/9,10:30,1689579
2019/12/9,11:00,1729443
2019/12/9,11:30,1657964
2019/12/9,12:00,1579072
2019/12/9,12:30,1561966
2019/12/9,13:00,1473371
2019/12/9,13:30,1402757
2019/12/9,14:00,1481399
2019/12/9,14:30,1699858
2019/12/9,15:00,1736103
2019/12/9,15:30,1711857
2019/12/9,16:00,1675012
